,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1983,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.30998,103.87791999999999,Entire condominium,Entire home/apt,9,3 baths,3.0,5.0,258.0,3,1124,t,30,60,90,365,20,0,0,23/09/2018,29/09/2019,1,9.0,9.0,9.0,9.0,9.0,9.0,f,97,96,0,0,0.78
1984,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.31008,103.87805,Entire condominium,Entire home/apt,6,2 baths,2.0,4.0,178.0,3,1124,t,30,60,90,365,8,1,0,07/10/2018,21/01/2020,1,8.0,9.0,10.0,10.0,8.0,9.0,f,97,96,0,0,0.32
1985,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.31182,103.87772,Entire condominium,Entire home/apt,6,2 baths,2.0,3.0,178.0,3,1124,t,30,60,90,365,14,3,0,30/08/2018,07/02/2020,1,9.0,8.0,10.0,9.0,9.0,8.0,f,97,96,0,0,0.53
1986,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.3111700000000002,103.87601,Entire condominium,Entire home/apt,9,3 baths,3.0,5.0,258.0,3,1124,t,30,60,90,365,4,1,0,10/03/2019,14/11/2019,1,9.0,9.0,10.0,9.0,8.0,9.0,f,97,96,0,0,0.2
1987,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.31055,103.8777,Entire condominium,Entire home/apt,9,3 baths,3.0,5.0,258.0,3,1124,t,30,60,90,365,8,3,0,12/10/2018,12/03/2020,1,10.0,8.0,10.0,10.0,8.0,9.0,f,97,96,0,0,0.32
1988,16/08/2018,,0.0,0.0,f,1.0,1.0,t,f,Jurong West,West Region,1.35028,103.70536,Private room in apartment,Private room,2,1 shared bath,1.0,1.0,68.0,30,1125,t,29,59,89,90,0,0,0,,,0,,,,,,,f,1,0,1,0,
1989,18/07/2012,,0.0,0.0,f,2.0,2.0,t,t,Bukit Merah,Central Region,1.2679200000000002,103.82543000000001,Entire condominium,Entire home/apt,6,3.5 baths,3.0,4.0,650.0,3,30,t,0,0,23,114,1,0,0,22/09/2018,22/09/2018,1,10.0,8.0,10.0,10.0,10.0,10.0,f,1,1,0,0,0.04
1990,27/10/2017,within an hour,1.0,0.35,f,225.0,225.0,t,t,Queenstown,Central Region,1.2999399999999999,103.80076,Entire apartment,Entire home/apt,4,2 baths,2.0,2.0,245.0,6,1125,t,29,59,89,364,0,0,0,,,0,,,,,,,f,111,105,5,1,
1991,12/07/2018,within an hour,1.0,1.0,f,56.0,56.0,t,t,Kallang,Central Region,1.3106799999999998,103.86118,Private room in apartment,Private room,1,3 shared baths,1.0,1.0,28.0,18,1125,t,29,59,89,364,1,0,0,14/11/2018,14/11/2018,1,8.0,8.0,10.0,10.0,10.0,8.0,t,67,1,66,0,0.04
1992,12/07/2018,within an hour,1.0,1.0,f,56.0,56.0,t,t,Kallang,Central Region,1.31083,103.86232,Private room in apartment,Private room,1,3 shared baths,1.0,1.0,28.0,18,1125,t,30,60,90,365,1,0,0,31/12/2018,31/12/2018,1,8.0,8.0,8.0,10.0,8.0,8.0,t,67,1,66,0,0.05
1993,06/05/2015,a few days or more,0.0,0.0,f,46.0,46.0,t,f,Downtown Core,Central Region,1.28213,103.853,Entire condominium,Entire home/apt,1,1 bath,1.0,1.0,117.0,50,365,t,30,60,90,365,0,0,0,,,0,,,,,,,f,45,17,28,0,
1994,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Novena,Central Region,1.3283200000000002,103.84869,Entire condominium,Entire home/apt,3,1 bath,1.0,1.0,130.0,25,1125,t,30,60,90,365,3,2,0,29/07/2019,30/03/2020,1,10.0,10.0,10.0,10.0,10.0,10.0,f,97,96,0,0,0.2
1995,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Kallang,Central Region,1.31437,103.8547,Entire condominium,Entire home/apt,5,1 bath,2.0,2.0,200.0,25,1124,t,30,60,90,365,5,0,0,09/10/2018,16/07/2019,1,9.0,10.0,10.0,10.0,10.0,9.0,f,97,96,0,0,0.2
1996,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.3139399999999999,103.88463,Entire condominium,Entire home/apt,4,2 baths,2.0,2.0,168.0,20,1124,t,30,60,90,365,1,0,0,18/01/2019,18/01/2019,1,8.0,8.0,10.0,10.0,10.0,6.0,f,97,96,0,0,0.05
1997,27/10/2017,within an hour,1.0,0.35,f,225.0,225.0,t,t,Geylang,Central Region,1.31846,103.88212,Entire condominium,Entire home/apt,4,1 bath,2.0,3.0,150.0,28,1125,t,29,59,89,364,0,0,0,,,0,,,,,,,f,111,105,5,1,
1998,05/07/2017,within an hour,1.0,0.33,f,239.0,239.0,t,t,Jurong East,West Region,1.33665,103.74129,Entire condominium,Entire home/apt,2,1 bath,1.0,1.0,184.0,30,1125,t,29,59,89,364,0,0,0,,,0,,,,,,,f,121,101,19,1,
1999,26/08/2018,a few days or more,0.0,0.0,f,1.0,1.0,t,f,Kallang,Central Region,1.31402,103.85943,Entire apartment,Entire home/apt,2,1 bath,1.0,1.0,130.0,90,180,t,30,60,90,365,0,0,0,,,0,,,,,,,t,1,1,0,0,
2000,26/08/2018,,0.0,0.0,f,1.0,1.0,t,f,Geylang,Central Region,1.31243,103.88105,Entire apartment,Entire home/apt,2,2 baths,2.0,2.0,679.0,1,1125,t,30,60,90,365,0,0,0,,,0,,,,,,,t,1,1,0,0,
2001,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Novena,Central Region,1.3233,103.8518,Entire condominium,Entire home/apt,4,1 bath,1.0,1.0,130.0,20,1124,t,30,60,90,365,2,0,0,22/02/2019,20/08/2019,1,10.0,9.0,10.0,10.0,10.0,10.0,f,97,96,0,0,0.1
